,,,,,,
, YEAR            ,MONTH       ,NPGO,,,
,1.99E+03,3E+00,6.5271548E-01,,,
,1.99E+03,4E+00,2.4156556E-01,,,
,1.99E+03,5E+00,-9.6055435E-02,,,
,1.99E+03,6E+00,-6.5433778E-02,,,
,1.99E+03,7E+00,-2.5829866E-01,,,
,1.99E+03,8E+00,-3.3040579E-01,,,
,1.99E+03,9E+00,-1.5925639E-01,,,
,1.99E+03,1E+01,-1.2022116E-01,,,
,1.99E+03,1.1E+01,-7.3895202E-01,,,
,1.99E+03,1.2E+01,-1.532809E+00,,,
,1.991E+03,1E+00,-7.4421842E-01,,,
,1.991E+03,2E+00,-3.0453129E-01,,,
,1.991E+03,3E+00,-8.0698494E-01,,,
,1.991E+03,4E+00,-2.0643753E-01,,,
,1.991E+03,5E+00,-5.9529254E-02,,,
,1.991E+03,6E+00,-3.8776968E-01,,,
,1.991E+03,7E+00,-4.794923E-01,,,
,1.991E+03,8E+00,-5.7405316E-01,,,
,1.991E+03,9E+00,-9.4857557E-01,,,
,1.991E+03,1E+01,-1.0900901E+00,,,
,1.991E+03,1.1E+01,-1.7231725E-01,,,
,1.991E+03,1.2E+01,-2.1297704E-01,,,
,1.992E+03,1E+00,4.9307736E-01,,,
,1.992E+03,2E+00,-4.5653143E-01,,,
,1.992E+03,3E+00,-8.2080177E-01,,,
,1.992E+03,4E+00,-1.4336134E+00,,,
,1.992E+03,5E+00,-1.7956172E+00,,,
,1.992E+03,6E+00,-1.3506516E+00,,,
,1.992E+03,7E+00,-1.4624325E+00,,,
,1.992E+03,8E+00,-1.2474734E+00,,,
,1.992E+03,9E+00,-9.4662956E-01,,,
,1.992E+03,1E+01,-9.6898904E-01,,,
,1.992E+03,1.1E+01,-1.2806748E+00,,,
,1.992E+03,1.2E+01,-1.8686891E+00,,,
,1.993E+03,1E+00,-2.8169835E+00,,,
,1.993E+03,2E+00,-2.1408178E+00,,,
,1.993E+03,3E+00,-1.7419109E+00,,,
,1.993E+03,4E+00,-7.5883626E-01,,,
,1.993E+03,5E+00,-1.0894275E+00,,,
,1.993E+03,6E+00,-1.6821039E+00,,,
,1.993E+03,7E+00,-1.6785552E+00,,,
,1.993E+03,8E+00,-1.5143229E+00,,,
,1.993E+03,9E+00,-2.0474347E+00,,,
,1.993E+03,1E+01,-2.3542966E+00,,,
,1.993E+03,1.1E+01,-2.9986692E+00,,,
,1.993E+03,1.2E+01,-2.0005526E+00,,,
,1.994E+03,1E+00,-1.8540143E+00,,,
,1.994E+03,2E+00,-1.9786652E+00,,,
,1.994E+03,3E+00,-1.8557886E+00,,,
,1.994E+03,4E+00,-1.4470739E+00,,,
,1.994E+03,5E+00,-3.0135894E-01,,,
,1.994E+03,6E+00,-6.1160343E-01,,,
,1.994E+03,7E+00,-7.1112965E-01,,,
